,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
162,Kadarius Toney,WR,KAN,0,0,0,0,0,0,0,0,0,-1,1,0,-0.1
163,Kalif Raymond,WR,DET,0,0,0,0,0,1,1,20,0,0,0,0,3.0
164,Keaontay Ingram,RB,ARI,0,0,0,0,0,0,0,0,0,-4,5,0,-0.4
165,Keenan Allen,WR,LAC,0,0,0,0,0,6,9,76,0,6,2,0,14.2
166,Kendrick Bourne,WR,NWE,0,0,0,0,0,6,11,64,2,0,0,0,24.4
167,Kenneth Gainwell,RB,PHI,0,0,0,0,0,4,4,20,0,54,14,0,11.4
168,Kenneth Walker III,RB,SEA,0,0,0,0,0,0,0,0,0,64,12,0,6.4
169,Kenny Pickett,QB,PIT,232,1,2,46,31,0,0,0,0,4,1,0,9.68
170,Khalil Herbert,RB,CHI,0,0,0,0,0,3,5,37,0,27,9,0,9.4
171,Kirk Cousins,QB,MIN,344,2,1,44,33,0,0,0,0,7,3,0,20.459999999999997
172,Kyle Pitts,TE,ATL,0,0,0,0,0,2,3,44,0,0,0,0,6.4
173,Kylen Granson,TE,IND,0,0,0,0,0,4,6,39,0,0,0,0,7.9
174,Kyren Williams,RB,LAR,0,0,0,0,0,0,0,0,0,52,15,2,17.2
175,Lamar Jackson,QB,BAL,169,0,1,22,17,0,0,0,0,38,6,0,8.559999999999999
176,Latavius Murray,RB,BUF,0,0,0,0,0,1,2,9,0,8,2,0,2.7
177,Laviska Shenault Jr.,WR,CAR,0,0,0,0,0,2,2,16,0,5,2,0,4.1
178,Lawrence Cager,TE,NYG,0,0,0,0,0,2,2,17,0,0,0,0,3.7
179,Lil'Jordan Humphrey,WR,DEN,0,0,0,0,0,2,2,11,1,0,0,0,9.1
180,Logan Thomas,TE,WAS,0,0,0,0,0,4,8,43,0,0,0,0,8.3
181,Luke Musgrave,TE,GNB,0,0,0,0,0,3,4,50,0,0,0,0,8.0
